Accuracy,Precision,Recall,Time,Depth,Algorithm
0.5666666666666667,0.45019360269360265,0.6666666666666667,0.0004442691802978516,1,Sklearn
0.5666666666666667,0.45019360269360265,0.6666666666666667,0.01477818489074707,1,Mine
0.5733333333333334,0.45376262626262626,0.6666666666666667,0.00040073394775390624,1,Sklearn
0.5733333333333334,0.45376262626262626,0.6666666666666667,0.015912175178527832,1,Mine
0.6,0.46077801827801823,0.6333333333333334,0.00040283203125,1,Sklearn
0.6,0.46077801827801823,0.6333333333333334,0.015815043449401857,1,Mine
0.5933333333333333,0.4618133718133718,0.6666666666666667,0.0004942893981933593,1,Sklearn
0.5933333333333333,0.4618133718133718,0.6666666666666667,0.017609047889709472,1,Mine
0.58,0.45461399711399714,0.6666666666666667,0.0004955291748046875,1,Sklearn
0.58,0.45461399711399714,0.6666666666666667,0.03065152168273926,1,Mine
0.58,0.45566498316498316,0.6666666666666667,0.0004464387893676758,1,Sklearn
0.58,0.45566498316498316,0.6666666666666667,0.030652117729187012,1,Mine
0.5733333333333333,0.45492932992933,0.6666666666666667,0.0004955530166625977,1,Sklearn
0.5733333333333333,0.45492932992933,0.6666666666666667,0.015077900886535645,1,Mine
0.5933333333333334,0.46246993746993753,0.6666666666666667,0.00044689178466796877,1,Sklearn
0.5933333333333334,0.46246993746993753,0.6666666666666667,0.015127849578857423,1,Mine
0.6199999999999999,0.47596921596921593,0.6666666666666667,0.0005458593368530273,1,Sklearn
0.6199999999999999,0.47596921596921593,0.6666666666666667,0.01502852439880371,1,Mine
0.5533333333333332,0.43708754208754214,0.6333333333333334,0.0004464626312255859,1,Sklearn
0.5533333333333332,0.43708754208754214,0.6333333333333334,0.014978814125061034,1,Mine
0.56,0.4454329004329004,0.6666666666666667,0.000545501708984375,1,Sklearn
0.56,0.4454329004329004,0.6666666666666667,0.014879846572875976,1,Mine
0.6,0.4669781144781145,0.6666666666666667,0.000396728515625,1,Sklearn
0.6,0.4669781144781145,0.6666666666666667,0.0151275634765625,1,Mine
0.5933333333333334,0.462012432012432,0.6666666666666667,0.0004467487335205078,1,Sklearn
0.5933333333333334,0.462012432012432,0.6666666666666667,0.015127611160278321,1,Mine
0.6133333333333333,0.4731287231287232,0.6666666666666667,0.00039663314819335935,1,Sklearn
0.6133333333333333,0.4731287231287232,0.6666666666666667,0.01492915153503418,1,Mine
0.5799999999999998,0.45555555555555555,0.6666666666666667,0.0004962205886840821,1,Sklearn
0.5799999999999998,0.45555555555555555,0.6666666666666667,0.01473081111907959,1,Mine
0.5933333333333333,0.46392015392015395,0.6666666666666667,0.00044524669647216797,1,Sklearn
0.5933333333333333,0.46392015392015395,0.6666666666666667,0.015027737617492676,1,Mine
0.5599999999999999,0.41684824434824436,0.65,0.0004959344863891601,1,Sklearn
0.5599999999999999,0.41684824434824436,0.65,0.01512765884399414,1,Mine
0.5666666666666667,0.4485952935952936,0.6666666666666667,0.0004959821701049805,1,Sklearn
0.5666666666666667,0.4485952935952936,0.6666666666666667,0.015623259544372558,1,Mine
0.54,0.4325301550301551,0.6666666666666667,0.0004974603652954102,1,Sklearn
